Q,H,Q_ssa,H_ssa
35303.53,35180.55,35269.0592062832,35206.118778559656
35362.84,35303.53,35277.57359290059,35215.82664216433
35347.61,35293.77,35285.26773809297,35224.71506857302
35338.74,35283.01,35291.78234834389,35232.327272150535
35312.59,35215.51,35296.84514385838,35238.39675571643
35347.39,35280.01,35300.46082310154,35243.39237056269
35323.86,35265.94,35301.94271669255,35246.340600789765
35253.0,35224.19,35301.53523266165,35247.35559378605
35285.58,35221.17,35300.20373162963,35246.97035778661
35294.41,35248.12,35297.61534377184,35245.47738348039
35330.02,35272.51,35293.93089880021,35242.91079786684
35280.96,35250.62,35289.06285859717,35239.52674670113
35250.21,35220.04,35284.276766312505,35236.01098113064
35246.38,35234.45,35280.413363219246,35233.04608903926
35338.14,35215.09,35277.75336654478,35230.81155791265
35273.04,35248.31,35275.3190205051,35229.73776025418
35266.42,35220.68,35274.196220137215,35229.62407950837
35215.62,35188.69,35274.550467302026,35230.87140305082
35267.95,35200.01,35276.92958603499,35233.79921191109
35277.06,35227.7,35280.44094400456,35238.12322806639
35282.85,35250.62,35284.76158131339,35243.30172724294
35252.24,35232.04,35289.48043570406,35248.82007797655
35267.95,35247.18,35294.666539693404,35254.51521444958
35294.41,35246.01,35299.87787595006,35259.959139946965
35340.47,35283.65,35304.479293412645,35264.896403559695
35356.53,35303.54,35307.64763327601,35268.674395097616
35325.69,35300.02,35308.942818084295,35270.81292056688
35331.09,35294.36,35308.73269532741,35271.24907480993
35339.47,35277.07,35306.98372887487,35270.023824622054
35292.5,35272.07,35303.485093328505,35267.32543237419
35306.74,35284.81,35298.922118964176,35263.26653261309
35303.47,35277.54,35293.12880811859,35257.80062259792
35319.0,35290.0,35286.33016974479,35251.19526828432
35268.59,35203.81,35278.44252043286,35243.48643297581
35252.08,35210.02,35270.297256481135,35235.868798164236
35221.13,35197.78,35262.00898908493,35228.416435264524
35215.81,35190.01,35254.146727329215,35221.301948229084
35235.0,35189.25,35246.836172849544,35214.70617796881
35241.51,35214.06,35239.94457006369,35208.67193176127
35252.1,35224.12,35233.237511558546,35202.78896101006
35224.13,35207.9,35226.384860220984,35196.78736226574
35217.79,35202.22,35219.60951369877,35190.72849331959
35215.02,35188.69,35213.01198073205,35184.529388539435
35231.09,35195.2,35206.55951816836,35178.228575926245
35229.87,35197.78,35200.04177653684,35171.71369498067
35210.28,35162.31,35193.397212273456,35164.91039383528
35187.92,35150.8,35186.941533408084,35158.31978234153
35188.69,35150.37,35181.35569518929,35152.29852574977
35188.81,35159.11,35176.77584043723,35147.05813565526
35160.31,35135.95,35173.40192581643,35142.73634990468
35146.48,35124.57,35171.90782797472,35139.84167492397
35145.96,35124.1,35172.598480684595,35138.71173537025
35162.31,35130.85,35175.47767164706,35139.51884909662
35139.46,35115.99,35180.28786377101,35142.24708595066
35170.0,35127.0,35187.572987127554,35147.23985620273
35197.78,35168.94,35196.95355472976,35154.33542376688
35199.0,35145.02,35208.03662368185,35162.9714146849
35180.17,35124.4,35220.74074397094,35173.30301328222
35195.91,35165.8,35235.135395170364,35185.416187043644
35267.95,35197.66,35250.77034079273,35198.60196505652
35320.89,35207.04,35266.389142235195,35212.234526131244
35318.74,35274.35,35281.160632913,35226.04879160457
35330.02,35283.57,35294.94393533874,35239.04674141389
35309.27,35272.9,35307.4911356637,35251.01739464727
35347.39,35295.01,35318.975659483556,35262.00899881374
35373.91,35290.01,35328.87400535875,35271.74543204205
35291.01,35241.51,35336.86275302766,35280.328177676194
35320.89,35263.97,35344.24244382031,35288.47903045993
35321.0,35277.62,35350.85462164355,35296.0460103402
35320.89,35288.99,35356.83326055239,35303.06416526696
35336.71,35300.0,35362.42517540046,35309.61485618167
35409.61,35328.01,35367.636643984835,35315.727946079154
35453.59,35375.01,35371.62428155299,35321.197984082784
35386.56,35337.46,35373.65491545161,35325.5715889523
35373.91,35330.67,35374.93430273268,35329.34023853463
35372.07,35320.89,35375.62553985873,35332.51279328002
35344.57,35320.89,35375.75224383536,35335.0892885945
35339.78,35306.43,35375.67099170863,35336.99797404961
35357.2,35311.4,35375.383442044076,35338.17288993591
35384.96,35351.18,35374.52144415982,35338.27561064539
35364.17,35330.03,35372.4100683344,35336.6400339918
35373.91,35362.07,35369.1194737597,35333.35235864062
35364.56,35345.01,35364.49210729128,35327.842146100906
35373.0,35345.0,35358.66480912537,35320.31719094165
35373.91,35339.61,35351.52076599263,35310.78383173526
35399.93,35357.38,35342.96626375238,35299.38259299652
35373.91,35294.41,35332.680998645505,35286.06574008402
35309.51,35294.41,35321.27509223725,35271.85858285457
35317.47,35241.51,35309.66991336631,35256.992762912705
35288.01,35211.54,35297.84983609386,35242.36543408436
35247.35,35216.04,35286.29200539849,35228.548670276214
35224.19,35199.8,35275.62363924611,35215.708659014344
35330.02,35162.31,35266.150110356684,35204.20717972693
35220.98,35162.31,35256.503588401945,35194.653119405884
35227.76,35186.46,35248.42233401394,35187.20882176656
35215.09,35172.6,35241.88919195621,35181.650558981826
35215.09,35135.95,35237.043659779985,35178.10327744446
35233.22,35198.57,35233.71059527803,35177.003522375984
35230.99,35218.24,35231.73775772916,35177.41498668436
35259.98,35171.39,35231.15239742212,35178.910953790706
35267.54,35175.69,35231.42485912513,35181.822453485336
35244.01,35202.19,35232.38212073034,35185.90455582129
35206.34,35162.31,35234.23636278952,35190.66579448077
35223.16,35202.18,35237.466467219594,35196.460703351186
35241.51,35204.68,35241.701668947004,35202.62784290842
35235.42,35206.32,35246.460296940175,35209.01403458828
35230.52,35202.19,35251.64805472939,35215.328805828365
35241.51,35203.02,35257.2414884092,35221.54691042226
35263.21,35208.8,35263.02425542157,35227.47467113234
35289.18,35253.52,35268.5767973563,35232.98862380071
35294.41,35263.15,35273.50847286626,35237.466404739156
35287.71,35271.96,35277.71895269433,35240.70817949099
35275.08,35248.58,35281.30838786278,35242.60798613222
