Q,H,Q_ssa,H_ssa
34925.79,34854.14,34909.21132159577,34853.940816001515
34899.61,34847.3,34901.312774716884,34845.80323810924
34895.01,34847.3,34894.71023728976,34839.09612507843
34873.45,34847.3,34889.404281431736,34833.85625999505
34854.44,34768.98,34885.58044583998,34830.003617498674
34847.3,34768.98,34883.503524268264,34828.39728812435
34873.45,34807.1,34882.856688613305,34828.710040612226
34866.75,34831.25,34882.86970294078,34829.988844304426
34888.8,34859.47,34883.253021210185,34831.52656984266
34899.61,34825.01,34883.41981763349,34832.667408273526
34919.34,34875.44,34883.01409746126,34833.558478779785
34883.02,34822.01,34881.64439068766,34833.39504893167
34899.61,34869.46,34879.68370141018,34832.7376951514
34899.61,34850.01,34876.940119673054,34831.03783928638
34875.0,34840.86,34873.53507529104,34828.68402368648
34899.61,34837.33,34870.012263559685,34825.93111165321
34898.87,34852.92,34866.189302127386,34822.95209829856
34867.02,34840.86,34862.24245587318,34819.77873109826
34868.39,34826.71,34858.96487561045,34816.79014962005
34870.09,34795.07,34856.51647106851,34814.47308291767
34811.15,34795.07,34855.1371080585,34813.493002102594
34799.12,34778.74,34855.81018264836,34814.110013510035
34808.68,34768.98,34858.873907492445,34816.765252915655
34805.6,34769.48,34864.27349133234,34821.545454311796
34795.06,34768.98,34872.00640990774,34828.443292632226
34890.81,34795.06,34882.13446803124,34837.45403542459
34945.54,34887.0,34893.18613354991,34848.07238490304
34951.99,34919.34,34904.18086936726,34858.822423377824
34932.93,34891.67,34914.849622277005,34869.033587536076
34967.44,34914.98,34925.31084139096,34878.9440247573
34944.43,34893.16,34935.107076722656,34888.31531182245
34966.92,34930.46,34944.52118138377,34897.40267077723
34971.76,34945.54,34953.436520223004,34905.90562592001
34960.07,34910.43,34961.86628500082,34913.67489934913
34934.1,34903.25,34970.08491118558,34921.34429916424
34971.76,34903.18,34978.5558900928,34929.16692145678
34998.0,34919.33,34986.76329314164,34937.25182612958
34983.05,34945.54,34994.41586685019,34945.44906498278
34991.64,34929.39,35001.88155584289,34953.59467378866
34974.9,34945.54,35009.21212216895,34961.99343178373
34991.56,34945.54,35016.648249430924,34970.50663299808
35004.45,34912.5,35023.95826814569,34979.01198385885
35008.84,34999.99,35030.83581228471,34987.788816048494
35050.54,35007.71,35037.02545712306,34995.50381534805
